time,open,high,low,close
2024-10-23T09:15:00+05:30,24471,24616,24462,24591
2024-10-23T10:15:00+05:30,24591,24674.95,24521.85,24624.05
2024-10-23T11:15:00+05:30,24627.65,24676.05,24577.5,24591.05
2024-10-23T12:15:00+05:30,24586,24634.75,24550,24593.2
2024-10-23T13:15:00+05:30,24596,24615,24521,24522.25
2024-10-23T14:15:00+05:30,24527.55,24530,24455.05,24474.95
2024-10-23T15:15:00+05:30,24475.55,24487.85,24469.75,24480
2024-10-24T09:15:00+05:30,24490.1,24538.95,24388.5,24495.85
2024-10-24T10:15:00+05:30,24498.65,24504.75,24451.3,24454.1
2024-10-24T11:15:00+05:30,24454.15,24473.15,24450,24451.75
2024-10-24T12:15:00+05:30,24453,24459.25,24429,24438.45
2024-10-24T13:15:00+05:30,24435,24446.75,24426.3,24430.8
2024-10-24T14:15:00+05:30,24433,24456.45,24405.25,24445.1
2024-10-24T15:15:00+05:30,24445.05,24474,24445,24474
2024-10-25T09:15:00+05:30,24400,24457.6,24240,24249.35
2024-10-25T10:15:00+05:30,24249.35,24278.95,24136.45,24182.45
2024-10-25T11:15:00+05:30,24180.7,24223.15,24140,24152.05
2024-10-25T12:15:00+05:30,24149.35,24160,24100,24142.2
2024-10-25T13:15:00+05:30,24142.45,24150,24092,24102.5
2024-10-25T14:15:00+05:30,24102.8,24196.5,24068,24186.05
2024-10-25T15:15:00+05:30,24186.1,24232.3,24186.1,24213.1
2024-10-28T09:15:00+05:30,24258.3,24314,24161.5,24304.6
2024-10-28T10:15:00+05:30,24303.5,24436.1,24303.5,24390.05
2024-10-28T11:15:00+05:30,24394.6,24484.2,24378.6,24480.7
2024-10-28T12:15:00+05:30,24475.3,24492,24390.9,24411.15
2024-10-28T13:15:00+05:30,24413.05,24466.45,24366.9,24384.95
2024-10-28T14:15:00+05:30,24384.85,24437.95,24312.05,24358
2024-10-28T15:15:00+05:30,24357.4,24368.55,24335.7,24362
2024-10-29T09:15:00+05:30,24368.8,24385.35,24183,24250.3
2024-10-29T10:15:00+05:30,24252.9,24274.9,24164,24219.35
2024-10-29T11:15:00+05:30,24219.35,24324.9,24200,24324.9
2024-10-29T12:15:00+05:30,24324.7,24373.75,24291.6,24342.35
2024-10-29T13:15:00+05:30,24342.35,24447.5,24278.85,24447.5
2024-10-29T14:15:00+05:30,24448,24501.3,24407.7,24484.95
2024-10-29T15:15:00+05:30,24484,24484,24455,24473
2024-10-30T09:15:00+05:30,24427.95,24448.15,24361,24440.8
2024-10-30T10:15:00+05:30,24436.95,24479,24400,24463.9
2024-10-30T11:15:00+05:30,24464.15,24485,24433,24463
2024-10-30T12:15:00+05:30,24463,24520,24432.5,24446.05
2024-10-30T13:15:00+05:30,24446.05,24446.05,24332.4,24335.5
2024-10-30T14:15:00+05:30,24335.65,24396.6,24314.95,24364.7
2024-10-30T15:15:00+05:30,24364.85,24386,24360.05,24366.9
2024-10-31T09:15:00+05:30,24324.95,24335,24241,24283.05
2024-10-31T10:15:00+05:30,24283.05,24285.05,24235.6,24243
2024-10-31T11:15:00+05:30,24243.9,24255.2,24227.45,24236.55
2024-10-31T12:15:00+05:30,24234.15,24236.95,24192,24208.7
2024-10-31T13:15:00+05:30,24209,24226.6,24191.65,24200
2024-10-31T14:15:00+05:30,24198,24219.95,24183.5,24206
2024-10-31T15:15:00+05:30,24208.05,24210,24199.55,24203.95
2024-11-01T18:00:00+05:30,24419.95,24419.95,24326.25,24383.05
2024-11-04T09:15:00+05:30,24379.8,24379.8,24046.5,24073
2024-11-04T10:15:00+05:30,24070,24089,23900.2,23930.25
2024-11-04T11:15:00+05:30,23921.95,24043.9,23901,24006.05
2024-11-04T12:15:00+05:30,24001.65,24024,23935,23993.45
2024-11-04T13:15:00+05:30,23996,24047,23960,24030
2024-11-04T14:15:00+05:30,24031,24126.35,24012,24124.95
2024-11-04T15:15:00+05:30,24123.45,24137.6,24098.35,24100
2024-11-05T09:15:00+05:30,24074.5,24160,24049.25,24102.7
2024-11-05T10:15:00+05:30,24097,24172.2,24077.95,24114
2024-11-05T11:15:00+05:30,24114,24125,23980.25,24009.6
2024-11-05T12:15:00+05:30,24009.85,24080,23981.15,24048.2
2024-11-05T13:15:00+05:30,24049.55,24281,24025.6,24263.75
2024-11-05T14:15:00+05:30,24262.9,24320,24255.1,24290
2024-11-05T15:15:00+05:30,24289,24297.95,24274.6,24297
