time,open,high,low,close,Volume
2018-12-04,30936,31126,30913,31106,8976
2018-12-05,31001,31086,30885,31075,7059
2018-12-06,31150,31296,31062,31089,10178
2018-12-07,31071,32021,31024,31595,12116
2018-12-10,31647,32118,31530,32028,11973
2018-12-11,31949,31988,31740,31935,9464
2018-12-12,31817,31838,31692,31732,7884
2018-12-13,31636,31698,31486,31527,7873
2018-12-14,31568,31641,31503,31553,7357
2018-12-17,31496,31639,31411,31630,6491
2018-12-18,31530,31563,31140,31163,12175
2018-12-19,31100,31344,31064,31227,9802
2018-12-20,31159,31320,31002,31311,13347
2018-12-21,31244,31387,31148,31193,9283
2018-12-24,31300,31470,31270,31460,8634
2018-12-26,31470,31740,31470,31559,10047
2018-12-27,31500,31768,31500,31713,8528
2018-12-28,31665,31734,31585,31598,9739
2018-12-31,31571,31595,31300,31391,9640
2019-01-01,31409,31461,31357,31422,2073
2019-01-02,31421,31704,31369,31610,9882
2019-01-03,31700,31938,31681,31789,11677
2019-01-04,31879,31879,31441,31456,11876
2019-01-07,31529,31758,31448,31648,10791
2019-01-08,31618,31757,31565,31741,9743
2019-01-09,31633,32019,31633,32001,11272
2019-01-10,32048,32135,31853,31880,10224
2019-01-11,31953,32076,31895,31928,8771
2019-01-14,31989,32220,31975,32141,9663
2019-01-15,32130,32277,32110,32180,10181
2019-01-16,32198,32300,32110,32286,9063
2019-01-17,32290,32390,32205,32268,9091
2019-01-18,32276,32319,32055,32091,9240
2019-01-21,32044,32195,31985,32043,6765
2019-01-22,31998,32194,31957,32160,8410
2019-01-23,32159,32217,32057,32140,7661
2019-01-24,32138,32151,31981,32013,7706
2019-01-25,32032,32382,32009,32343,9158
2019-01-28,32340,32589,32340,32547,7067
2019-01-29,32545,32939,32545,32900,10073
2019-01-30,32918,32989,32827,32899,8396
2019-01-31,33000,33217,32926,33096,9704
2019-02-01,33108,33445,33022,33416,16255
2019-02-04,33548,33646,33342,33467,6860
2019-02-05,33434,33495,33341,33367,7242
2019-02-06,33360,33445,33305,33327,6599
2019-02-07,33285,33285,33035,33169,9729
2019-02-08,33199,33258,33011,33242,8437
2019-02-11,33200,33200,32908,33046,8529
2019-02-12,32995,33075,32813,32851,8296
2019-02-13,32854,33145,32805,33011,8201
2019-02-14,32950,33107,32874,33079,8904
2019-02-15,33140,33410,33140,33384,8917
2019-02-18,33450,33617,33450,33608,6183
2019-02-19,33650,33900,33581,33899,10340
2019-02-20,33943,34031,33833,33870,10048
