time,open,high,low,close,Volume
2018-12-04,37170,37685,37164,37481,16539
2018-12-05,37250,37456,37100,37426,9579
2018-12-06,37421,37517,37061,37218,14147
2018-12-07,37220,38000,37182,37972,16198
2018-12-10,37907,38480,37700,38369,19536
2018-12-11,38340,38660,38079,38331,15654
2018-12-12,38299,38623,38140,38561,13188
2018-12-13,38400,38522,38224,38356,10787
2018-12-14,38248,38297,37980,38054,12684
2018-12-17,37965,38208,37905,38169,8396
2018-12-18,38002,38042,37425,37453,13307
2018-12-19,37455,37830,37368,37679,10662
2018-12-20,37391,37655,37185,37525,15555
2018-12-21,37413,37605,37201,37256,12729
2018-12-24,37325,37600,37305,37541,9135
2018-12-26,37607,38489,37574,38253,19007
2018-12-27,38274,38783,38081,38690,19237
2018-12-28,38749,38880,38587,38706,13826
2018-12-31,38798,38877,38550,38821,13309
2019-01-01,38726,38852,38615,38786,1658
2019-01-02,38601,39215,38601,39127,19820
2019-01-03,39188,39529,39162,39501,16161
2019-01-04,39600,39670,39121,39173,17399
2019-01-07,39224,39522,39161,39222,13606
2019-01-08,39075,39375,38889,39337,12381
2019-01-09,39270,39642,39237,39521,14662
2019-01-10,39591,39761,39260,39285,13399
2019-01-11,39365,39629,39207,39336,12401
2019-01-14,39305,39569,39279,39552,8683
2019-01-15,39580,39770,39461,39569,14520
2019-01-16,39532,39753,39433,39592,13539
2019-01-17,39730,39730,39336,39400,11651
2019-01-18,39450,39583,39107,39198,12763
2019-01-21,39155,39224,38802,38887,11480
2019-01-22,38820,39130,38733,39072,13401
2019-01-23,39127,39319,38930,39099,12843
2019-01-24,39120,39140,38840,38883,10445
2019-01-25,38973,39700,38950,39670,18505
2019-01-28,39885,40086,39665,39936,12924
2019-01-29,39930,40341,39905,40266,16195
2019-01-30,40349,40475,40170,40335,11174
2019-01-31,40420,40689,39902,40439,13702
2019-02-01,40251,40786,40200,40576,16214
2019-02-04,40505,40640,40225,40615,13676
2019-02-05,40580,40716,40342,40362,10902
2019-02-06,40437,40437,40118,40146,11206
2019-02-07,40031,40056,39861,39920,13786
2019-02-08,39881,40261,39725,40105,13450
2019-02-11,40011,40049,39741,39822,11057
2019-02-12,39885,39950,39426,39503,13186
2019-02-13,39538,39898,39499,39586,14158
2019-02-14,39510,39570,39256,39443,15935
2019-02-15,39510,39970,39485,39962,13976
2019-02-18,40080,40292,40080,40170,8958
2019-02-19,40259,40584,40151,40557,14037
2019-02-20,40663,40938,40525,40891,13062
2019-02-21,40542,40556,40128,40164,17443
2019-02-22,40164,40320,40038,40268,14461
2019-02-25,40270,40412,39988,40006,14348
2019-02-26,40287,40360,39955,40054,15921
2019-02-27,40795,40888,40370,40404,7789
2019-02-28,40471,40540,39875,39882,15131
