time,open,high,low,close,Volume
2017-11-24,25781,25885.65,25770.05,25842.45,1581440
2017-11-27,25774.4,25969.95,25710,25938.8,2167480
2017-11-28,25862,25988.9,25816.65,25876,2058880
2017-11-29,25840,25913.1,25781.25,25815.5,1851960
2017-11-30,25875,25875,25273.05,25332.4,4182960
2017-12-01,25510,25540,25211.3,25259.65,2924200
2017-12-04,25300,25374,25086,25185.85,2187600
2017-12-05,25297,25297,24980.2,25225,3221120
2017-12-06,25240,25240,24885.9,24927.4,3434040
2017-12-07,25001.25,25209,24940.35,25172,2927040
2017-12-08,25242.35,25389.85,25232.35,25364.5,2534680
2017-12-11,25450.9,25488,25364.6,25422.45,1616560
2017-12-12,25399,25399,25160.45,25178.2,2671640
2017-12-13,25140,25348,24962.1,25038.2,4022360
2017-12-14,25072.35,25244.2,24944.05,25213.05,3459080
2017-12-15,25549.6,25590,25439.15,25510.25,3034600
2017-12-18,25111.05,25773,24000,25610.7,6448480
2017-12-19,25680.1,25740.4,25615.35,25707.85,1822520
2017-12-20,25739.9,25795.7,25631.7,25662.95,2251120
2017-12-21,25655.35,25695,25555.15,25621.35,1705560
2017-12-22,25655,25720,25601,25666.4,1632480
2017-12-26,25652,25706.8,25593.7,25673.8,1350440
2017-12-27,25670,25755,25443,25496.35,2818600
2017-12-28,25475.35,25538.1,25404.4,25490,2998160
2017-12-29,25538,25598.2,25484.45,25570.05,1770760
2018-01-01,25570,25622,25411.8,25447.05,1486760
2018-01-02,25490,25491.95,25287.55,25393.45,2623000
2018-01-03,25440,25499,25370,25386.8,2152600
2018-01-04,25394.75,25524,25379.55,25496.4,2543600
2018-01-05,25534,25668.3,25520.65,25636.5,2078600
2018-01-08,25699.85,25779.9,25685.1,25724.65,1679480
2018-01-09,25750,25769.25,25641.05,25709.5,1587680
2018-01-10,25696.2,25714.8,25565.65,25625.65,1972320
2018-01-11,25602.4,25706.95,25550,25668.45,2376120
2018-01-12,25710,25764.75,25568,25743.4,2945680
2018-01-15,25774.75,26063.55,25762.45,26044.75,3166520
2018-01-16,26121,26121,25937.05,25981.35,2361760
2018-01-17,25989.95,26313,25912,26289.95,3331240
2018-01-18,26610.25,26767.95,26385,26499.4,5271520
2018-01-19,26551.05,26947.75,26429.95,26896.05,4192360
2018-01-22,26889.9,27045.4,26801.7,27015.5,2258360
2018-01-23,27044.4,27415,27030,27386,2771720
2018-01-24,27310.05,27474.7,27219.2,27426.75,3365120
2018-01-25,27474.65,27512.5,27126.3,27445.65,4229560
2018-01-29,27382,27639.65,27382,27509.3,2240760
2018-01-30,27451.05,27479.85,27312.2,27358.7,2201680
2018-01-31,27222,27582.5,27210.35,27465.6,2841280
2018-02-01,27430.35,27661,27078.6,27233.2,5949960
2018-02-02,26994.95,26994.95,26425.5,26504.65,4365080
2018-02-05,26094.95,26317.35,25903.3,26196,3239080
2018-02-06,25201.1,26213.05,25000,25848.6,7049120
2018-02-07,26111.35,26111.35,25572,25663.5,4066040
2018-02-08,25741,26148,25622.05,25941.85,4279160
2018-02-09,25510.15,25650,25356,25513.3,4089400
2018-02-12,25602.5,25759.4,25530,25706.45,2471480
2018-02-14,25760,25830,25250,25357.5,3645360
2018-02-15,25325,25613,25281.2,25419,4177960
2018-02-16,25475.1,25590,25128.6,25192.2,3808680
2018-02-19,25300.05,25323.95,24840.15,25057.5,4460320
2018-02-20,25061.1,25149.8,24811.8,24859.55,4094880
2018-02-21,24980,25010.5,24776.1,24928.8,3161720
2018-02-22,24785,24956.95,24752.8,24955.2,3558960
2018-02-23,25002,25409.95,24950,25381.55,3379680
2018-02-26,25530,25777.95,25452,25739.15,2788000
2018-02-27,25700,25780,25385,25412.1,3688760
2018-02-28,24600,25270,24600,25170.05,4483880
2018-03-01,25069.4,25280,24870,24938.45,4092200
2018-03-05,24749.65,24905,24683.1,24866.35,3643480
2018-03-06,24990,25085,24412,24504.15,4845920
2018-03-07,24370,24439,24160.6,24214.2,4922120
2018-03-08,24364,24570,24085.7,24508.05,5489960
2018-03-09,24549.8,24580,24285.15,24313.25,3822080
2018-03-12,24505.65,24798,24402,24747.75,3939040
2018-03-13,24710,25090,24636,24816.1,6140000
2018-03-14,24690,24970,24551.1,24933.25,4859960
2018-03-15,24922.05,25007.95,24791,24843.05,4277040
2018-03-16,24750.85,24869.9,24566,24607.5,4492720
2018-03-19,24630,24670,24256.55,24336.9,4268280
2018-03-20,24210,24430,24135.3,24224.5,4144400
2018-03-21,24375.05,24528,24251,24325.85,4045360
2018-03-22,24352.35,24368.55,24110.1,24171.7,3940440
2018-03-23,23832,23860,23631.2,23710.15,4026840
2018-03-26,23670,24320,23668.45,24280.85,4238360
2018-03-27,24424,24518.6,24280.25,24400.2,4705280
2018-03-28,24300,24375,24226,24263.35,3462360
2018-04-02,24355.5,24465,24155,24431.25,3083520
2018-04-03,24380,24621.75,24355,24598.25,2812400
2018-04-04,24621.75,24699,24115.75,24148.6,5023960
