time,open,high,low,close,Volume
2018-11-26,10573.1,10650,10492.4,10639.2,13466400
2018-11-27,10610.9,10695,10585,10684.85,15477600
2018-11-28,10699.95,10747.2,10699.95,10717.9,12441000
2018-11-29,10786.05,10882.9,10777.1,10858.7,13469550
2018-11-30,10927,10949.75,10855,10900.65,9104400
2018-12-03,10961.15,10974,10871.3,10924,7891350
2018-12-04,10917.75,10929.95,10872,10907.75,6372900
2018-12-05,10850.35,10868,10786.75,10827.65,8454375
2018-12-06,10750.15,10754.4,10611.7,10626.3,11269950
2018-12-07,10665.25,10747.95,10637.1,10735.15,9534075
2018-12-10,10582.25,10597.7,10500.05,10514.7,9253500
2018-12-11,10355,10607,10352.1,10581.1,18747000
2018-12-12,10610,10798.9,10588.5,10783.65,11437125
2018-12-13,10834.25,10882.2,10777.3,10824.95,10282650
2018-12-14,10806.95,10837,10771.3,10820.3,7907700
2018-12-17,10855.15,10924,10855.15,10910.5,6877875
2018-12-18,10862,10940,10835.2,10935.05,8081550
2018-12-19,10959.95,11006.25,10946.45,10986.5,7082025
2018-12-20,10905.5,10991,10891.3,10978.2,9871050
2018-12-21,10960,10981.65,10755,10767.5,14751000
2018-12-24,10758.55,10789.95,10660.25,10681.9,14253675
2018-12-26,10637.65,10760.65,10536.4,10748.5,20100375
2018-12-27,10801,10834.4,10763.75,10779.8,13530300
2018-12-28,10850.05,10946,10850,10907.75,8329500
2018-12-31,10960,10984.8,10902,10916.85,6865800
2019-01-01,10909.95,10967.5,10843.2,10960.55,6623250
2019-01-02,10911.55,10938,10757,10830.85,14414250
2019-01-03,10833.95,10859.95,10710.05,10718.5,11212275
2019-01-04,10739.95,10793.45,10678,10777.6,12783300
2019-01-07,10861,10895.05,10778,10803.45,10332150
2019-01-08,10790,10872.75,10758,10844.65,9670800
2019-01-09,10892.6,10904,10764.95,10877.7,12229425
2019-01-10,10873,10898.2,10830,10857.75,7168200
2019-01-11,10873.95,10886.75,10772.55,10827.6,9336150
2019-01-14,10812.95,10820,10720.6,10769.8,7549425
2019-01-15,10805.15,10940,10792.35,10928.4,11020800
2019-01-16,10930,10963,10907.2,10921.65,7800675
2019-01-17,10942.95,10958.4,10855,10925.85,8943975
2019-01-18,10960,10964,10875,10927.15,8007150
2019-01-21,10930.05,11003.45,10902.15,10969.7,8265600
2019-01-22,10950,10954,10880,10936.2,7684725
2019-01-23,10921.35,10962,10835,10854.9,7899675
2019-01-24,10855.05,10885,10811.4,10868.6,8155875
2019-01-25,10899.95,10955,10761.65,10785.95,12107925
2019-01-28,10784.9,10821.85,10642.65,10676.8,11346225
2019-01-29,10679.05,10706,10597.7,10668.05,12251775
2019-01-30,10709,10714,10606,10642.9,13028100
2019-01-31,10688.95,10844.15,10676.1,10830.95,13787400
2019-02-01,10870,11023.2,10835.1,10914.05,18804600
2019-02-04,10887,10954,10830.05,10937.5,8123100
2019-02-05,10938,10970.05,10911,10951.7,6969450
2019-02-06,10986.65,11100,10986.35,11090.3,10922325
2019-02-07,11080.05,11142.85,11060.2,11093.8,9125700
2019-02-08,11049.95,11065,10935,10957.25,11291850
2019-02-11,10920,10945.9,10870.1,10909.6,7910550
2019-02-12,10914,10931.6,10850.15,10860.45,8108625
2019-02-13,10886.35,10905,10802.25,10823.4,8082075
2019-02-14,10801.2,10812.4,10741.3,10779.8,10716150
2019-02-15,10819.9,10819.9,10641,10746.55,14276625
2019-02-18,10809.9,10809.9,10653.3,10662.25,8350725
2019-02-19,10651.55,10756.6,10602,10617.15,10178925
2019-02-20,10660.25,10770,10649.95,10751.85,10610100
2019-02-21,10749.95,10833,10736.6,10804.45,8573925
2019-02-22,10790,10823.9,10772.5,10808.8,6114225
2019-02-25,10825.3,10896.9,10802.3,10887.05,8767800
2019-02-26,10794,10893.1,10725.15,10827.8,16242300
2019-02-27,10855.25,10942.25,10746,10809.45,16621275
2019-02-28,10863,10863,10786.75,10792.5,9897675
2019-03-01,10897.7,10929.45,10870.6,10917.05,6961200
2019-03-05,10859.9,11040,10843.05,11032.7,9824925
2019-03-06,11053.95,11094.5,11033.05,11086.8,8723775
2019-03-07,11114.9,11129.7,11064,11098.2,7695975
2019-03-08,11067.75,11083.85,11033.2,11076.05,7425150
2019-03-11,11073.9,11213.55,11065.3,11202.15,8544900
2019-03-12,11256.05,11352.55,11252.6,11336.85,11600025
2019-03-13,11202,11388.8,11101.05,11366.65,9460725
2019-03-14,11367.15,11399,11333.75,11381.75,7559250
2019-03-15,11390,11532.5,11390,11470.45,12421125
2019-03-18,11505.25,11554.35,11436,11494.5,10305600
2019-03-19,11525.05,11581,11475,11570.75,7844625
2019-03-20,11570.05,11580,11533.6,11553.2,7760250
2019-03-22,11569.95,11595.75,11451,11472.4,12413250
2019-03-25,11419.9,11419.9,11337.7,11370.05,10621875
2019-03-26,11370,11523.8,11363.25,11510.7,11886525
2019-03-27,11521.05,11573.7,11421.05,11458.1,12505125
2019-03-28,11458.65,11578,11448.9,11570,11008500
2019-03-29,11689,11718.5,11641,11679.9,7587900
2019-04-01,11719.2,11822.75,11708.25,11748.4,9260850
2019-04-02,11763.95,11794.7,11712.2,11779.5,7221525
2019-04-03,11788.3,11834.15,11715,11729.65,8336250
2019-04-04,11729.95,11754,11641.45,11679.55,8686500
2019-04-05,11700,11783.15,11680.05,11760.75,7241400
2019-04-08,11760.75,11780.05,11622.25,11674.9,9200325
2019-04-09,11707.75,11750.05,11632,11742.3,8093925
2019-04-10,11720,11744,11642.55,11652.9,7951950
2019-04-11,11648.55,11677.85,11605.2,11668.9,6378375
2019-04-12,11645,11727,11626.05,11703.85,7155750
2019-04-15,11689.95,11739.7,11682.7,11727.75,5097000
2019-04-16,11758.25,11847.1,11758.25,11824.45,7421100
2019-04-18,11859,11859,11752.05,11771.1,7985400
2019-04-22,11716.3,11749.9,11609.2,11618.9,9545850
2019-04-23,11631.15,11664.6,11573.5,11586.4,9595425
2019-04-24,11602.3,11756,11579.05,11738.25,10989825
2019-04-25,11713.75,11797.85,11630.55,11641.8,15225075
2019-04-26,11769.95,11827.9,11725,11813.5,7881975
2019-04-30,11805,11838.5,11712.05,11791.55,8004375
2019-05-02,11751.1,11834.4,11735,11765.4,8520375
2019-05-03,11735,11824.45,11734.95,11764.3,5892075
2019-05-06,11671.1,11695,11626.85,11656.35,7108050
2019-05-07,11685,11692,11531.35,11541.9,8315625
2019-05-08,11509.9,11519.95,11403.4,11418.6,10261425
2019-05-09,11378.5,11397.4,11291.1,11334.8,10844175
2019-05-10,11329,11376,11283.7,11307.2,10900725
2019-05-13,11270.1,11328,11153.65,11181.55,9217125
2019-05-14,11170.1,11338.1,11138,11241.65,13550325
2019-05-15,11275.6,11300,11157,11177.45,10842075
2019-05-16,11189.95,11309.9,11152.25,11285.25,10581600
2019-05-17,11284.95,11447.7,11267.05,11425.8,12081750
2019-05-20,11651.1,11877.3,11601.1,11859.45,15890550
2019-05-21,11885,11895,11687.5,11715.15,12295950
2019-05-22,11740.2,11833.25,11710,11781.65,10809225
2019-05-23,11888,12070,11640.15,11692.4,26888775
2019-05-24,11765.1,11890,11678.1,11869.4,13574925
2019-05-27,11858.9,11960,11833.15,11918.5,10854450
2019-05-28,11959,11965,11856.5,11940.75,12031350
2019-05-29,11916.7,11934.95,11836.3,11862.25,11196600
2019-05-30,11865,11964.9,11856.9,11945.9,12630975
2019-05-31,12001,12047,11828.65,11916.5,14494425
2019-06-03,11941.65,12118,11915.05,12104.45,12003750
2019-06-04,12081.15,12111.8,12036,12056.15,8214450
2019-06-06,12044.7,12059,11866.25,11884.05,12688200
2019-06-07,11880.2,11933,11801.2,11900.75,10014450
2019-06-10,11950.05,11994,11875.15,11933.8,8278950
2019-06-11,11975,12022.85,11917,11976.95,7887525
2019-06-12,11960.05,11965.9,11877.35,11916.7,8028825
2019-06-13,11885.35,11950,11836.25,11928.3,8679825
2019-06-14,11900.05,11916.55,11811.6,11838.05,8105700
2019-06-17,11824.95,11830,11685,11697.55,8193675
2019-06-18,11701,11752,11657.1,11700.5,10023150
2019-06-19,11748.65,11815,11630.3,11708.6,12791250
2019-06-20,11670,11863.35,11668.05,11849.45,11960925
2019-06-21,11839.05,11842.6,11726.4,11753.45,9149475
2019-06-24,11730.2,11782,11681,11717.15,8243025
2019-06-25,11684.05,11834,11666.6,11810.3,11709450
2019-06-26,11774.9,11890,11767.1,11864.4,11058300
2019-06-27,11876.75,11914.7,11827,11841.55,12862275
2019-06-28,11907.7,11916,11828,11841.5,7850925
2019-07-01,11888.05,11924.95,11863.55,11903.65,6305175
2019-07-02,11910.4,11948,11840.2,11942.35,8002875
2019-07-03,11953,11976,11927.5,11949.2,5884950
2019-07-04,11947.15,11999,11942.65,11979.65,5934450
2019-07-05,11993.95,11998.95,11808,11820.95,13880100
2019-07-08,11769.9,11770,11527.35,11566.3,14921025
2019-07-09,11543.35,11594.1,11486.55,11552.6,12033450
2019-07-10,11549.5,11593,11467.55,11492.25,8766450
2019-07-11,11550.25,11606,11528.15,11582.05,7752675
2019-07-12,11580,11642.45,11530,11544.35,8720175
2019-07-15,11583.95,11599.9,11515,11579.2,6509325
2019-07-16,11585.25,11672.15,11570.1,11657.85,8115075
2019-07-17,11648.3,11693.55,11643.2,11675.8,5520075
2019-07-18,11642.1,11665.3,11590.1,11604.35,7645125
2019-07-19,11635.05,11643.45,11402,11421.85,12014850
2019-07-22,11407.75,11407.75,11311.55,11360.25,11724225
2019-07-23,11368.95,11406.4,11305.65,11333.8,11471475
2019-07-24,11319.95,11355.9,11226.9,11277.8,12457350
2019-07-25,11290.05,11354.85,11230.05,11252.15,14817975
2019-07-26,11300.15,11345,11247.15,11327,8733075
2019-07-29,11310,11325,11175.25,11215.05,9578025
2019-07-30,11250,11289.95,11080,11095.2,12528450
2019-07-31,11058.55,11165,11031.5,11132.2,13691850
2019-08-01,11098.4,11098.4,10901.1,11015.35,14991075
