time,open,high,low,close,Volume
2018-10-05,14.567,14.715,14.516,14.618,0
2018-10-08,14.623,14.663,14.264,14.34,0
2018-10-09,14.378,14.438,14.268,14.36,0
2018-10-10,14.364,14.43,14.241,14.26,0
2018-10-11,14.291,14.621,14.26,14.58,0
2018-10-12,14.572,14.703,14.514,14.569,0
2018-10-15,14.57,14.774,14.57,14.667,0
2018-10-16,14.68,14.845,14.618,14.64,0
2018-10-17,14.629,14.727,14.59,14.59,0
2018-10-18,14.587,14.657,14.454,14.55,0
2018-10-19,14.543,14.716,14.543,14.595,0
2018-10-22,14.61,14.69,14.52,14.55,0
2018-10-23,14.546,14.807,14.516,14.7,0
2018-10-24,14.735,14.802,14.651,14.68,0
2018-10-25,14.662,14.777,14.597,14.61,0
2018-10-26,14.622,14.772,14.582,14.675,0
2018-10-29,14.68,14.761,14.416,14.45,0
2018-10-30,14.44,14.529,14.377,14.46,0
2018-10-31,14.473,14.476,14.21,14.21,0
2018-11-01,14.236,14.821,14.236,14.73,0
2018-11-02,14.738,14.912,14.646,14.733,0
2018-11-05,14.71,14.766,14.603,14.606,0
2018-11-06,14.609,14.714,14.489,14.51,0
2018-11-07,14.51,14.724,14.483,14.562,0
2018-11-08,14.541,14.589,14.387,14.426,0
2018-11-09,14.423,14.45,14.106,14.128,0
2018-11-12,14.13,14.209,13.973,13.973,0
2018-11-13,13.925,14.126,13.925,13.983,0
2018-11-14,13.972,14.191,13.898,14.12,0
2018-11-15,14.118,14.348,14.099,14.279,0
2018-11-16,14.28,14.422,14.239,14.377,0
2018-11-19,14.375,14.44,14.35,14.407,0
2018-11-20,14.394,14.49,14.233,14.306,0
2018-11-21,14.313,14.553,14.28,14.466,0
2018-11-23,14.479,14.505,14.191,14.241,0
2018-11-26,14.248,14.439,14.211,14.211,0
2018-11-27,14.211,14.308,14.096,14.13,0
2018-11-28,14.134,14.393,14.121,14.295,0
2018-11-29,14.291,14.39,14.27,14.283,0
2018-11-30,14.283,14.339,14.052,14.153,0
2018-12-03,14.15,14.563,14.15,14.35,0
2018-12-04,14.35,14.663,14.35,14.511,0
2018-12-05,14.513,14.542,14.421,14.486,0
2018-12-06,14.483,14.513,14.343,14.44,0
2018-12-07,14.44,14.644,14.439,14.586,0
2018-12-10,14.592,14.655,14.479,14.51,0
2018-12-11,14.497,14.72,14.497,14.55,0
2018-12-12,14.536,14.792,14.536,14.73,0
2018-12-13,14.712,14.804,14.684,14.735,0
2018-12-14,14.74,14.757,14.494,14.545,0
2018-12-17,14.55,14.701,14.55,14.63,0
2018-12-18,14.647,14.719,14.61,14.61,0
2018-12-19,14.61,14.824,14.549,14.574,0
2018-12-20,14.569,14.841,14.557,14.75,0
2018-12-21,14.75,14.792,14.605,14.605,0
2018-12-24,14.6,14.805,14.6,14.749,0
2018-12-26,14.773,15.168,14.718,14.99,0
2018-12-27,14.992,15.268,14.939,15.21,0
2018-12-28,15.21,15.394,15.21,15.352,0
2018-12-31,15.36,15.506,15.327,15.47,0
2019-01-02,15.468,15.611,15.328,15.497,0
2019-01-03,15.49,15.751,15.486,15.691,0
2019-01-04,15.691,15.869,15.585,15.67,0
2019-01-07,15.671,15.814,15.62,15.62,0
2019-01-08,15.62,15.685,15.504,15.62,0
2019-01-09,15.625,15.773,15.582,15.71,0
2019-01-10,15.71,15.783,15.548,15.548,0
2019-01-11,15.531,15.737,15.531,15.569,0
2019-01-14,15.589,15.66,15.543,15.62,0
2019-01-15,15.625,15.695,15.542,15.55,0
2019-01-16,15.548,15.645,15.495,15.568,0
2019-01-17,15.568,15.613,15.457,15.5,0
2019-01-18,15.5,15.576,15.307,15.307,0
2019-01-22,15.253,15.349,15.181,15.32,0
2019-01-23,15.32,15.432,15.267,15.34,0
2019-01-24,15.332,15.393,15.243,15.291,0
2019-01-25,15.29,15.754,15.29,15.722,0
2019-01-28,15.737,15.814,15.606,15.689,0
2019-01-29,15.689,15.914,15.689,15.807,0
2019-01-30,15.8,16.102,15.8,16.04,0
2019-01-31,16.062,16.185,15.992,16.03,0
2019-02-01,16.03,16.075,15.858,15.858,0
2019-02-04,15.876,15.924,15.689,15.824,0
2019-02-05,15.841,15.928,15.813,15.82,0
2019-02-06,15.815,15.865,15.64,15.64,0
