time,open,high,low,close,Up Trend,Down Trend
2015-03-02,26600,26988,25500,26269,,
2015-04-01,26350,27279,26238,26716,,
2015-05-01,26660,27685,26490,26860,,
2015-06-01,26831,27245,26390,26471,,
2015-07-01,26531,26531,24451,25009,,
2015-08-03,24960,27833,24656,26682,,
2015-09-01,26770,27100,25900,26083,,
2015-10-01,26062,27368,25965,26499,,
2015-11-02,26480,26540,24935,25069,,
2015-12-01,25375,26020,24740,24931,,
2016-01-01,24913,26867,24913,26638,,
2016-02-01,26700,30095,26617,29513,,
2016-03-01,29650,30161,28270,28751,,
2016-04-01,28729,30375,28303,30266,,
2016-05-02,30300,30538,28410,28936,,36633.2
2016-06-01,28866,31925,28820,31199,,36633.2
2016-07-01,31250,32455,30669,31549,,36633.2
2016-08-01,31358,31946,30670,30724,,36633.2
2016-09-01,30750,31466,30560,30981,,36633.2
2016-10-03,30950,31024,29300,29950,,36633.2
2016-11-01,30000,31376,28151,28197,,36633.2
2016-12-01,28150,28213,26862,27445,,34857.13836164565
2017-01-02,27401,28857,27401,28792,,34857.13836164565
2017-02-01,28747,29785,28580,29566,,34857.13836164565
2017-03-01,29451,29453,27907,28742,,34857.13836164565
2017-04-03,28703,29539,28621,28873,,34857.13836164565
2017-05-01,28777,29119,27932,29094,,34857.13836164565
2017-06-01,29010,29585,28350,28439,,34857.13836164565
2017-07-03,28421,28620,27603,28557,,34500.72043158526
2017-08-01,28775,29937,28300,29745,,34500.72043158526
2017-09-01,29735,30474,29443,29706,,34500.72043158526
2017-10-03,29705,29955,29136,29153,,34500.72043158526
2017-11-01,29150,29745,29069,29146,,34500.72043158526
2017-12-01,29237,29510,28055,29156,,34500.72043158526
2018-01-01,29160,30464,29061,29966,,34500.72043158526
2018-02-01,30038,30839,29805,30379,,34500.72043158526
2018-03-01,30320,30950,30095,30408,,34500.72043158526
2018-04-02,30650,31620,30500,31036,,34500.72043158526
2018-05-01,30950,31579,30851,31246,,34500.72043158526
2018-06-01,31200,31424,30356,30432,,34500.72043158526
2018-07-02,30399,30778,29638,29878,,34500.72043158526
2018-08-01,29835,30359,29268,30129,,34500.72043158526
2018-09-03,30100,30928,30070,30481,,34500.72043158526
2018-10-01,30751,32311,30683,31748,,34500.72043158526
2018-11-01,31787,31938,30180,30244,,34500.72043158526
2018-12-03,30316,32118,30316,31391,,34500.72043158526
2019-01-01,31409,33217,31357,33096,,34500.72043158526
