time,open,high,low,close,Up Trend,Down Trend
2015-03-02,37222,39090,34887,37169,,
2015-04-01,37344,38588,35591,37145,,
2015-05-01,37239,40574,36710,38349,,
2015-06-01,38242,39150,35416,36148,,
2015-07-01,36312,36320,33310,34025,,
2015-08-03,33945,36786,33151,35333,,
2015-09-01,35542,36690,34427,34547,,
2015-10-01,34645,37975,34404,36490,,
2015-11-02,36425,36460,33152,34205,,
2015-12-01,34333,35359,33030,33299,,
2016-01-01,33399,35418,33233,34750,,
2016-02-01,34789,38800,34617,36661,,
2016-03-01,36786,38588,36056,36751,,
2016-04-01,36704,42650,35419,42298,,
2016-05-02,42319,42745,38351,38400,,54806.4
2016-06-01,38351,44540,38270,44349,,54806.4
2016-07-01,44590,48932,44590,47480,,54806.4
2016-08-01,47588,48445,43521,44802,,54806.4
2016-09-01,44944,47694,44688,45726,,54806.4
2016-10-03,45550,45891,41060,42402,,54806.4
2016-11-01,42494,44790,39860,40965,,54806.4
2016-12-01,40850,41999,38325,39049,,54806.4
2017-01-02,39174,42086,39007,41911,,54806.4
2017-02-01,41893,44150,41444,43955,,54806.4
2017-03-01,43800,44151,39808,42326,,54806.4
2017-04-03,42310,42820,39400,39503,,54806.4
2017-05-01,39849,40470,37720,40096,,54049.31732116222
2017-06-01,40016,40842,37811,38783,,54049.31732116222
2017-07-03,38738,38820,35460,38645,,51817.25419976797
2017-08-01,38672,40760,36935,40700,,51817.25419976797
2017-09-01,40640,41927,39309,39457,,51817.25419976797
2017-10-03,39314,40632,38688,38818,,51817.25419976797
2017-11-01,38814,40208,38285,38347,,51817.25419976797
2017-12-01,38525,39313,36672,39237,,51363.68417479639
2018-01-01,39089,40180,38402,39319,,51363.68417479639
2018-02-01,39386,39615,37540,38246,,51221.14488115597
2018-03-01,38650,39499,38101,38322,,50973.53522241224
2018-04-02,38378,40769,37940,39332,,50973.53522241224
2018-05-01,39161,40916,38886,39904,,50973.53522241224
2018-06-01,39801,41698,39027,39921,,50973.53522241224
2018-07-02,39800,40170,37873,38321,,50621.43151810743
2018-08-01,38250,38285,36423,37482,,48686.73608356693
2018-09-03,37450,38634,36641,38577,,48686.73608356693
2018-10-01,38500,39444,38015,38050,,48686.73608356693
2018-11-01,38025,38890,35704,36025,,48179.162907646714
2018-12-03,36605,38880,36531,38821,,48179.162907646714
2019-01-01,38726,40689,38601,40439,,48179.162907646714
2019-02-01,40251,40938,39256,39882,,48179.162907646714
2019-03-01,39877,39930,37279,37761,,48179.162907646714
2019-04-01,37807,38281,36830,37714,,47730.62918339712
2019-05-01,37592,37762,35826,36449,,46807.05390450398
2019-06-03,36610,38590,36400,37452,,46807.05390450398
2019-07-01,37902,41825,37462,41227,,46807.05390450398
2019-08-01,40880,48236,40285,47723,32402.129655123288,
2019-09-02,48132,51489,43975,44119,34660.454344781734,
2019-10-01,44105,47250,43969,46764,34660.454344781734,
2019-11-01,46725,46900,43467,45055,34660.454344781734,
2019-12-02,44949,47323,43406,46711,34660.454344781734,
2020-01-01,46699,48925,45257,46989,34660.454344781734,
2020-02-03,46669,49516,43957,44403,34660.454344781734,
2020-03-02,45200,47870,33580,39523,34660.454344781734,
2020-04-01,39599,44584,39451,41390,34660.454344781734,
2020-05-01,41522,50174,40951,50118,34660.454344781734,
2020-06-01,50587,51235,46436,50364,34660.454344781734,
2020-07-01,50333,67560,48450,64984,35672.42866794449,
2020-08-03,65656,77949,60910,70437,44042.03342341486,
2020-09-01,71000,73254,56020,59919,44042.03342341486,
2020-10-01,60001,64122,58381,60865,44042.03342341486,
2020-11-02,61422,66478,57877,60222,44042.03342341486,
2020-12-01,61012,71650,60575,68105,44042.03342341486,
2021-01-01,68254,71550,63603,69706,44042.03342341486,
2021-02-01,71650,74426,66320,67261,44042.03342341486,
2021-03-01,69854,69872,62500,63814,44042.03342341486,
2021-04-01,63614,70425,63512,68366,44042.03342341486,
2021-05-03,68807,74222,68607,71898,44042.03342341486,
2021-06-01,72500,73582,66628,69074,44042.03342341486,
2021-07-01,69400,70960,65656,67847,44042.03342341486,
2021-08-02,67812,68872,61227,63366,44042.03342341486,
2021-09-01,63175,65605,58150,59617,44042.03342341486,
2021-10-01,59600,66752,59320,64534,44042.03342341486,
2021-11-01,64449,67446,61734,62287,44042.03342341486,
2021-12-01,62325,63239,60050,62660,44042.03342341486,
2022-01-03,62465,65499,60012,60976,44042.03342341486,
2022-02-01,61101,68097,59951,65901,44042.03342341486,
2022-03-01,66555,73078,65299,67487,44042.03342341486,
2022-04-01,67374,70738,63556,64349,44042.03342341486,
