time,open,high,low,close,Up Trend,Down Trend
2007-10-01,8933.4,9194.45,8933.4,9194.45,,
2007-11-01,9200.1,9784.7,8697.95,9512.1,,
2007-12-03,9693.9,10301,9250,9954.95,,
2008-01-01,9959,10806,7641,9226.25,,
2008-02-01,9201,9765,8250,8677.4,,
2008-03-03,8065,8095,6400,6629.55,,
2008-04-01,6700,7832,6465.05,7648.1,,
2008-05-02,7809,8005,6480,6500,,
2008-06-02,6545,6664,4904,4911,,
2008-07-01,4979,6463.95,4530,5730,,
2008-08-01,5601,6757,5550.1,5720.05,,
2008-09-01,6050.55,6677.65,5550,6080.2,,
2008-10-01,5850,6040,3771,4280.45,,
2008-11-03,4777,5425,3952,4291.15,,
2008-12-01,4360,5244,3902.25,4930.25,,10813.285
2009-01-01,5019.9,5441.25,4026,4361,,10813.285
2009-02-02,4410.5,4604,3782.55,3834.9,,10200.441044444444
2009-03-02,3773,4304.9,3290.15,4285.15,,9674.813308148146
2009-04-01,4150,5294.65,3996.2,5130.95,,9674.813308148146
2009-05-04,5275.1,7600,5266,7341,,9674.813308148146
2009-06-01,7450,7623.5,6837.5,7311.3,,9674.813308148146
2009-07-01,7312,7695,6366,7554.6,,9674.813308148146
2009-08-03,7575,7729,6974,7452.3,,9674.813308148146
2009-09-01,7485.5,8789,7305.1,8762.9,,9674.813308148146
2009-10-01,8750.5,9598,8381.4,8419.5,,9674.813308148146
2009-11-03,8333,9360,8180.7,9012.8,,9674.813308148146
2009-12-01,9018,9444,8561.55,9029.5,,9674.813308148146
2010-01-04,9026.3,9249,8260.1,8630.05,,9674.813308148146
2010-02-01,8570,8864.4,8141,8740.45,,9674.813308148146
2010-03-02,8780,9598.8,8780,9485.45,,9674.813308148146
2010-04-01,9520,9893.7,9212.1,9842.1,4647.152717073098,
2010-05-03,9798.8,9846.4,8815,9253.9,4647.152717073098,
2010-06-01,9222.2,9779.7,8950.05,9505,4647.152717073098,
2010-07-01,9400.15,10198,9276,10126.45,5056.498031303282,
2010-08-02,10199.55,11110.95,10171,10740.75,6009.973162549731,
2010-09-01,10780,12399.7,10758,12264.15,6814.1949517130815,
2010-10-01,12370.05,12885,12005,12392,7763.321954932209,
2010-11-01,12472.2,13320,11440,12025.2,7763.321954932209,
2010-12-01,12000,12587,11041.65,11839,7763.321954932209,
2011-01-03,11920,11955.55,10384,10660,7763.321954932209,
2011-02-01,10700.05,11279.7,10030,10443,7763.321954932209,
2011-03-01,10543,11900,10520,11705.45,7763.321954932209,
2011-04-01,11800,12025,11431,11511.75,7763.321954932209,
2011-05-02,11588.8,11726.2,10330,10930.6,7763.321954932209,
2011-06-01,10934,11266.85,10335.85,11244.65,7763.321954932209,
2011-07-01,11299.9,11495,10763.3,10910.8,7763.321954932209,
2011-08-01,11011,11075,8905.95,9521.65,7763.321954932209,
2011-09-02,9550.1,9960,9160.05,9430,7763.321954932209,
2011-10-03,9320,10125.55,8637.95,10016.7,7763.321954932209,
2011-11-01,9924.9,10019.95,8231.75,8561.35,7763.321954932209,
2011-12-01,8908,9307.5,7750,7944.3,7763.321954932209,
2012-01-02,7964,9980,7880,9952.45,7763.321954932209,
2012-02-01,9960,11249.8,9745.65,10519.8,7763.321954932209,
2012-03-01,10498,11014.75,9840,10269.85,7763.321954932209,
2012-04-02,10228.85,10674.8,10035,10269.7,7763.321954932209,
2012-05-02,10280,10375,8925.25,9441,7763.321954932209,
2012-06-01,9388.45,10374,9045.8,10346.55,7763.321954932209,
2012-07-02,10351,10788,10055.85,10435.3,7763.321954932209,
2012-08-01,10430,10734,9963.5,10070.7,7763.321954932209,
2012-09-03,10097,11600,9881.5,11513.75,7763.321954932209,
2012-10-01,11508,11803,11202.2,11338.45,7763.321954932209,
2012-11-01,11320,12231.4,11055,12200.9,7763.321954932209,
2012-12-03,12152,12625,11805,12576.2,7763.321954932209,
2013-01-01,12627,12975,12515.55,12708.6,8157.683872700237,
2013-02-01,12774,12809,11425.5,11487.35,8157.683872700237,
2013-03-01,11601.1,12294.25,11064.65,11361.85,8157.683872700237,
2013-04-01,11484.9,12769.9,10904.15,12495.4,8157.683872700237,
2013-05-02,12500.15,13348.7,12139.5,12484.05,8157.683872700237,
2013-06-03,12501,12529.95,11040,11641.45,8157.683872700237,
2013-07-01,11616.5,11854.75,9955,10115.9,8157.683872700237,
2013-08-01,10210,10289,8349.4,9065.1,8157.683872700237,
2013-09-02,9090,11287,8501.3,9700.6,8157.683872700237,
2013-10-01,9750,11482,9657,11473.15,8157.683872700237,
2013-11-01,10589.5,11835,10481.1,11270.5,8157.683872700237,
2013-12-02,11299,12349.8,11062.85,11479.65,8157.683872700237,
2014-01-01,11481.2,11677.4,10103,10276.65,8157.683872700237,
2014-02-03,10236.7,11000,9967.2,10730.4,8157.683872700237,
2014-03-03,10734.95,12949.95,10611,12824.75,8157.683872700237,
2014-04-01,12853.7,13328.9,12505,12936.05,8157.683872700237,
2014-05-02,13010.05,15996.85,12857,14758.95,8250.053639021276,
2014-06-02,14780,15750,14707,15366.6,9185.286729753192,
2014-07-01,15395,15725,14405.3,15267.6,9185.286729753192,
2014-08-01,15250.15,15974,14755.95,15740,9447.392773473894,
2014-09-01,15852.7,16364.25,15200.3,15475.4,9948.811588575632,
2014-10-01,15431.7,17187,15180.5,17146.45,10204.11748267059,
2014-11-03,17157.65,18735.95,17029,18665.25,11846.297983825883,
2014-12-01,18705.25,18960,17600,18903.5,12283.568118237494,
2015-01-01,18861.35,20934,18306,19995.35,13322.530243688327,
2015-02-02,19855,20172.4,18294.3,19853.1,13322.530243688327,
2015-03-02,20150.15,20740,17710,18310.65,13322.530243688327,
2015-04-01,18250,19109.65,17756,18338.1,13322.530243688327,
2015-05-04,18579.75,18789.9,17286.1,18764.15,13322.530243688327,
2015-06-01,18725,18870,17138.75,18295.95,13322.530243688327,
2015-07-01,18284.5,19280,18191.1,18835.8,13322.530243688327,
2015-08-03,18835,19194,16642.6,17208.4,13322.530243688327,
2015-09-01,17025.25,17642.5,15793.05,17319.35,13322.530243688327,
2015-10-01,17490,18041,17185.3,17416.9,13322.530243688327,
2015-11-02,17396.35,17548,16625,17490.4,13322.530243688327,
2015-12-01,17510,17577,16212,16922.2,13322.530243688327,
2016-01-01,16909.85,17144.85,14730,15536.8,13322.530243688327,
2016-02-01,15583.75,15605.85,13406.4,13989.35,13322.530243688327,
2016-03-01,14195,16293.95,14081,16141.65,13322.530243688327,
2016-04-01,16200,17069,15480,16888.35,13322.530243688327,
2016-05-02,16720.45,17657.95,16261,17612.55,13322.530243688327,
2016-06-01,17631.1,18026.8,16910,17935.4,13322.530243688327,
2016-07-01,18032,19199.5,17963,19049.4,13322.530243688327,
2016-08-01,19045,19925,18355,19859.95,13322.530243688327,
2016-09-01,19879.85,20649.45,19042.5,19402.75,13378.16036974225,
2016-10-03,19511.15,19905.25,18872,19623.5,13378.16036974225,
2016-11-01,19589.45,20332,18200,18700.95,13378.16036974225,
2016-12-01,18718.45,18770,17617,18195.55,13378.16036974225,
2017-01-02,18210.05,19874.8,17855.5,19588.45,13378.16036974225,
2017-02-01,19550,21024.55,19510,20681.45,13840.851930102068,
2017-03-01,20755.05,21678.5,20494.6,21488.15,14772.84846809526,
2017-04-03,21519.9,22391.9,21355.5,22366.4,15704.538570222245,
2017-05-02,22369.95,23380,22291.9,23321.75,16787.905998874096,
2017-06-01,23300.25,23891,23007.05,23201.2,17568.463932282488,
2017-07-03,23250,25150.9,23133.35,25135.05,18115.588003463654,
2017-08-01,25157.95,25260,23882.1,24318.4,18578.842136566076,
2017-09-01,24354,25104.85,23609.1,24066.45,18578.842136566076,
2017-10-03,24580,25138.9,23886.1,25057.45,18586.26559451978,
2017-11-01,25225,26200,25193.05,25332.4,19860.692888218466,
2017-12-01,25510,25795.7,24000,25570.05,19860.692888218466,
2018-01-01,25570,27639.65,25287.55,27465.6,20305.785360403635,
2018-02-01,27430.35,27661,24600,25170.05,20305.785360403635,
2018-03-01,25069.4,25280,23631.2,24263.35,20305.785360403635,
2018-04-02,24355.5,25678,24115.75,25635.85,20305.785360403635,
2018-05-02,25675,27058.2,25523,26956.2,20305.785360403635,
2018-06-01,26726,26899,26079.05,26349.65,20305.785360403635,
2018-07-02,26349.95,27872.05,26065.35,27811.65,20591.010855271958,
2018-08-01,27778.7,28408.8,27415.3,28216.7,21694.60679825383,
2018-09-03,28285.15,28299.95,24706.75,25214.7,21694.60679825383,
2018-10-01,25085,25892.9,24272.4,25208.4,21694.60679825383,
2018-11-01,25249.95,27034.1,25178.95,26918.45,21694.60679825383,
2018-12-03,27055.5,27429.5,25706.4,27318.1,21694.60679825383,
2019-01-01,27300.2,27784.4,26520,27295.45,21694.60679825383,
2019-02-01,27331,27646.95,26700,26789.9,21694.60679825383,
2019-03-01,27061.05,30915.65,27051,30525.85,21829.375150640884,
2019-04-01,30594.9,30811.95,29426.6,29891.7,23072.82847393149,
2019-05-02,29785,31815.45,28571,31324.75,23072.82847393149,
2019-06-03,31326.85,31793.95,30200,31267.45,23626.176248402542,
2019-07-01,31400.25,31727.6,28655.85,28972.35,23626.176248402542,
2019-08-01,28805.65,28924,26615.6,27520.9,23626.176248402542,
2019-09-03,27321.05,30974.8,26683.1,29324.7,23626.176248402542,
2019-10-01,29440,30399.1,27652.2,30066.25,23626.176248402542,
2019-11-01,30200.05,32148,30052,32003.85,23626.176248402542,
2019-12-02,32079.95,32773.85,31065.3,32366.05,23626.176248402542,
2020-01-01,32417.3,32606.05,30513.45,30937.3,23626.176248402542,
2020-02-01,30794.95,31626.7,28970.15,29053.9,23626.176248402542,
2020-03-02,29355.55,29648,16020.55,19135.5,,34506.22271730198
2020-04-01,18900,21984.85,17075,21534.5,,31733.03620281518
2020-05-04,20600,20600,17005.95,19099.2,,31400.158789294164
2020-06-01,19490.35,22494.85,19435.8,21213.85,,31400.158789294164
2020-07-01,21190,23148.55,21025.05,21691.5,,31400.158789294164
2020-08-03,21480,25270,21085.35,23743,,31400.158789294164
2020-09-01,23850,24200,20431,21464.25,,31400.158789294164
2020-10-01,21676,24880.65,21665,23924.55,,31400.158789294164
2020-11-02,24245.2,30190,24100.5,29667.2,,31400.158789294164
2020-12-01,29785.15,31549.45,29000.1,31264.05,,31400.158789294164
2021-01-01,31250,32899,29661,30679.15,,31400.158789294164
2021-02-01,30994.85,37770,30942.5,34870.35,19927.000702072226,
2021-03-01,35350,36580.95,32391.65,33478.45,19927.000702072226,
2021-04-01,33693,34298.85,30451.6,32893.55,19927.000702072226,
2021-05-03,32350,35670,31625,35602.9,19927.000702072226,
2021-06-01,35677.95,35990,33937,34937.55,20657.881079917166,
2021-07-01,34975.75,36075.9,34118.2,34673.15,21223.085674589358,
2021-08-02,34820.5,36690,34678.25,36513.5,22197.264962950067,
2021-09-01,36625.05,38395.6,36251.2,37425.1,24163.82396542005,
2021-10-01,37321,41820.8,36950.15,39314.45,25804.36403439206,
2021-11-01,39555,40295,35459,35780.2,25804.36403439206,
2021-12-01,35790,37717,34123.1,35628.25,25804.36403439206,
2022-01-03,36621,39255,35650.3,38113.75,25804.36403439206,
2022-02-01,38505.15,39888.7,35201.05,36261.65,25804.36403439206,
2022-03-02,35548,36899,32251.35,36373.6,25804.36403439206,
2022-04-01,36407,38780,35501.05,36144.25,25804.36403439206,
2022-05-02,35629,36340,33005.15,35514.8,25804.36403439206,
2022-06-01,35290,36333,32335,33425.1,25804.36403439206,
2022-07-01,33244.7,37800,33131.55,37567.15,25804.36403439206,
2022-08-01,37647.85,39794.1,37288.3,39707.6,25804.36403439206,
