time,open,high,low,close,Up Trend,Down Trend
2007-10-01,5478,5970.85,5478,5890.15,,
2007-11-01,5980,5980,5388.7,5792.7,,
2007-12-03,5812.35,6190,5676,6154.9,,
2008-01-01,6150,6336,4420,5137.45,,
2008-02-01,5121.85,5553.9,4735,5181.1,,
2008-03-03,4923.9,4999.9,4461,4732.3,,
2008-04-01,4766.1,5246.7,4621.1,5188.8,,
2008-05-02,5249,5271.85,4825.1,4848,,
2008-06-02,4878,4896.5,3959,3960,,
2008-07-01,3977,4537.8,3761,4332.15,,
2008-08-01,4270,4654,4208.1,4214.05,,
2008-09-01,4311.25,4564.1,3812,4110.55,,
2008-10-01,3939,4016.5,2228,2697.1,,
2008-11-03,3018,3298.9,2495.15,2754.5,,
2008-12-01,2796,3118,2565,2916.85,,6115.393333333333
2009-01-01,2989,3148,2635.45,2823.7,,6084.038777777778
2009-02-02,2835,2974,2691.5,2785.65,,5887.576192592593
2009-03-02,2665.15,3098,2525.25,3082.25,,5815.529446419753
2009-04-01,3014.9,3519.7,2951,3473.95,,5815.529446419753
2009-05-04,3621,4620,3537.2,4336.95,,5815.529446419753
2009-06-01,4511.4,4703.5,4155,4289.75,,5815.529446419753
2009-07-01,4310,4679,3905.7,4636.05,,5815.529446419753
2009-08-03,4658.1,4753.8,4340.9,4673.4,,5815.529446419753
2009-09-01,4691,5080,4571.15,5073.55,,5815.529446419753
2009-10-01,5064.7,5168.5,4692,4707.75,,5815.529446419753
2009-11-03,4660.05,5139.8,4534.3,5029.9,,5815.529446419753
2009-12-01,5046.1,5229,4937.15,5201.05,,5815.529446419753
2010-01-04,5225,5303.25,4757.85,4875.65,,5815.529446419753
2010-02-01,4847.3,5002.4,4667.25,4930.35,,5815.529446419753
2010-03-02,4979.9,5344,4967.05,5261.6,,5815.529446419753
2010-04-01,5286.1,5398,5162.3,5262.8,,5815.529446419753
2010-05-03,5235,5245,4786.45,5056.2,,5815.529446419753
2010-06-01,5045,5377.55,4933.5,5318.95,,5815.529446419753
2010-07-01,5269.95,5476,5231,5374.3,,5815.529446419753
2010-08-02,5407.8,5542.9,5356,5403.7,,5815.529446419753
2010-09-01,5420,6093,5412,6000.4,3583.3813900448713,
2010-10-01,6065,6317.8,5966.25,6040,4023.767630708546,
2010-11-01,6105,6349,5727,5889.95,4023.767630708546,
2010-12-01,5890,6182,5748,6162.55,4023.767630708546,
2011-01-03,6202.1,6209.9,5438.1,5524.4,4023.767630708546,
2011-02-01,5542,5589,5175.1,5338,4023.767630708546,
2011-03-01,5375,5879.75,5357.25,5833.75,4023.767630708546,
2011-04-01,5865.1,6000,5393.45,5753.8,4023.767630708546,
2011-05-02,5769,5790,5328.55,5554.9,4023.767630708546,
2011-06-01,5556.2,5653.8,5182.4,5647.4,4023.767630708546,
2011-07-01,5700.2,5760,5456.1,5488.05,4023.767630708546,
2011-08-01,5544.45,5557.1,4718,5003,4023.767630708546,
2011-09-02,5040,5174,4756.1,4931,4023.767630708546,
2011-10-03,4869.8,5402.75,4725.55,5347.1,4023.767630708546,
2011-11-01,5321.6,5353.95,4632.25,4832.35,4023.767630708546,
2011-12-01,4978.45,5134.65,4538,4634.4,4023.767630708546,
2012-01-02,4637.8,5234,4592.4,5223.35,4023.767630708546,
2012-02-01,5210.55,5700,5178.5,5439.5,4023.767630708546,
2012-03-01,5413.65,5542,5133.5,5333.25,4023.767630708546,
2012-04-02,5300,5402,5000,5267.85,4023.767630708546,
2012-05-02,5281.3,5301.7,4767.45,4924.25,4023.767630708546,
2012-06-01,4908.5,5309.75,4760.5,5297.35,4023.767630708546,
2012-07-02,5311.25,5363.7,5034.1,5240.55,4023.767630708546,
2012-08-01,5239,5462.95,5100,5291.65,4023.767630708546,
2012-09-03,5301.2,5766.05,5237,5729.55,4023.767630708546,
2012-10-01,5725.6,5855.6,5613.2,5646.1,4023.767630708546,
2012-11-01,5637.7,5926,5555.55,5909.05,4023.767630708546,
2012-12-03,5915.35,6002.85,5838.05,5951.75,4052.756194261702,
2013-01-01,5958,6120,5958,6034.75,4250.952447977588,
2013-02-01,6068.95,6078,5673.9,5693.05,4250.952447977588,
2013-03-01,5718.95,5990.1,5604,5682.55,4250.952447977588,
2013-04-01,5716.35,5965.9,5480.3,5929,4250.952447977588,
2013-05-02,5936,6239,5930,6000.05,4346.838126251991,
2013-06-03,6020,6080.15,5556.6,5841.45,4346.838126251991,
2013-07-01,5829.9,6107.25,5715,5781.05,4346.838126251991,
2013-08-01,5799,5841,5108.25,5456.75,4346.838126251991,
2013-09-02,5464.1,6174.8,5318.75,5791.45,4346.838126251991,
2013-10-01,5806.65,6302.6,5754.05,6299.15,4346.838126251991,
2013-11-01,6315.05,6369.95,5983,6225.5,4346.838126251991,
2013-12-02,6215,6480,6151.1,6354.7,4431.793364988411,
2014-01-01,6364.95,6408.7,6025.1,6112,4431.793364988411,
2014-02-03,6087.35,6243.4,5957.25,6238.8,4431.793364988411,
2014-03-03,6280,6765.9,6228,6739.65,4661.617672156503,
