time,open,high,low,close,Up Trend,Down Trend
2016-03-21,29100,29340,28450,28599,25906.22972718106,
2016-03-28,28525,28880,28270,28466,25906.22972718106,
2016-04-04,28416,29152,28303,29131,25906.22972718106,
2016-04-11,29181,29495,28715,28959,25906.22972718106,
2016-04-18,29010,29756,28934,29021,25906.22972718106,
2016-04-25,29092,30375,29013,30266,26054.164208648894,
2016-05-02,30300,30538,29860,30378,26621.019928072303,
2016-05-09,30215,30215,29607,30034,26621.019928072303,
2016-05-16,30064,30269,29623,29691,26621.019928072303,
2016-05-23,29677,29727,28536,28603,26621.019928072303,
2016-05-30,28523,29420,28410,29387,26621.019928072303,
2016-06-06,29370,30141,29176,30084,26621.019928072303,
2016-06-13,30094,31245,30094,30602,26985.39581477204,
2016-06-20,30550,31925,29852,31401,26985.39581477204,
2016-06-27,31450,31740,31131,31463,27547.889243090314,
2016-07-04,31600,32455,31331,31719,27964.829960217627,
2016-07-11,31750,31888,30726,30977,27964.829960217627,
2016-07-18,30901,31140,30669,30871,27964.829960217627,
2016-07-25,30782,31598,30682,31549,27964.829960217627,
2016-08-01,31358,31946,31208,31228,27964.829960217627,
2016-08-08,31202,31577,31020,31219,27964.829960217627,
2016-08-16,31250,31568,31250,31404,27964.829960217627,
2016-08-22,31325,31415,30851,30990,27964.829960217627,
2016-08-29,30940,31093,30560,30920,27964.829960217627,
2016-09-05,30930,31466,30922,31217,27964.829960217627,
2016-09-12,31150,31206,30792,30813,27964.829960217627,
2016-09-19,30932,31380,30841,31281,28008.836387142364,
2016-09-26,31236,31350,30866,30981,28084.04729466621,
2016-10-03,30950,31024,29300,29578,28084.04729466621,
2016-10-10,29650,29885,29460,29656,28084.04729466621,
2016-10-17,29673,30063,29600,29946,28084.04729466621,
2016-10-24,29905,30157,29720,30057,28084.04729466621,
2016-10-31,30010,30686,29916,30557,28084.04729466621,
2016-11-07,30510,31376,29250,29396,28084.04729466621,
2016-11-14,29328,29698,28800,28937,28084.04729466621,
2016-11-21,29024,29225,28374,28598,28084.04729466621,
2016-11-28,28702,28872,27891,28111,28084.04729466621,
2016-12-05,28110,28166,27531,27576,,31212.404611040653
2016-12-12,27500,27685,26901,27164,,30641.710970304608
2016-12-19,27190,27280,26862,26994,,30307.93023895097
2016-12-26,27004,27634,26916,27445,,30307.93023895097
2017-01-02,27401,27983,27401,27887,,30307.93023895097
2017-01-09,27915,28520,27841,28380,,30307.93023895097
2017-01-16,28450,28825,28450,28625,,30307.93023895097
2017-01-23,28650,28857,28085,28353,,30307.93023895097
2017-01-30,28384,29070,28336,28909,,30307.93023895097
2017-02-06,28950,29414,28925,29173,,30307.93023895097
2017-02-13,29120,29485,28872,29360,,30307.93023895097
2017-02-20,29251,29649,29075,29623,,30307.93023895097
2017-02-27,29587,29785,28952,29020,,30307.93023895097
2017-03-06,29100,29189,28251,28366,,30307.93023895097
2017-03-13,28420,28540,27907,28509,,30307.93023895097
2017-03-20,28550,28948,28392,28793,,30307.93023895097
2017-03-27,28870,28938,28501,28742,,30307.93023895097
2017-04-03,28703,29145,28661,28684,,30307.93023895097
2017-04-10,28682,29433,28621,29409,,30307.93023895097
2017-04-17,29450,29539,29201,29418,,30307.93023895097
2017-04-24,29250,29250,28660,28873,,30307.93023895097
2017-05-01,28777,28894,28020,28072,,30307.93023895097
2017-05-08,28118,28237,27932,28005,,30307.93023895097
2017-05-15,28024,29004,27982,28635,,30307.93023895097
2017-05-22,28593,28935,28564,28888,,30307.93023895097
2017-05-29,28870,29137,28712,29088,,30307.93023895097
2017-06-05,29204,29585,28905,29019,,30307.93023895097
2017-06-12,28951,29087,28675,28690,,30307.93023895097
2017-06-19,28650,28820,28448,28734,,30307.93023895097
2017-06-26,28450,28725,28350,28439,,30307.93023895097
2017-07-03,28421,28421,27724,27784,,30307.93023895097
2017-07-10,27732,28073,27603,27996,,30249.42839022153
2017-07-17,28050,28559,28025,28541,,30249.42839022153
2017-07-24,28563,28610,28304,28580,,30249.42839022153
