time,open,high,low,close,Up Trend,Down Trend
2016-03-21,37769,38291,36621,36669,,39702.80667624056
2016-03-28,36600,36901,35419,35922,,39702.80667624056
2016-04-04,35995,36699,35551,36671,,39702.80667624056
2016-04-11,36750,38647,36715,38507,,39702.80667624056
2016-04-18,38251,41421,38150,39985,33065.431192577125,
2016-04-25,40300,42650,39691,42298,34109.36911307198,
2016-05-02,42319,42745,41065,41731,34866.611172200515,
2016-05-09,41555,41850,40253,40974,34866.611172200515,
2016-05-16,41260,41495,39621,39834,34866.611172200515,
2016-05-23,39761,39822,38778,38866,34866.611172200515,
2016-05-30,38501,39291,38270,39079,34866.611172200515,
2016-06-06,39203,41140,38715,41068,34866.611172200515,
2016-06-13,40898,42441,40751,41362,34866.611172200515,
2016-06-20,41162,42990,40911,42392,34999.2556607251,
2016-06-27,42173,46494,41852,46403,36447.305283343434,
2016-07-04,46528,48932,45840,47487,39350.81826445387,
2016-07-11,47900,48611,47000,47275,39876.397046823615,
2016-07-18,47036,47260,45598,46321,39876.397046823615,
2016-07-25,46150,48122,45801,47480,39876.397046823615,
2016-08-01,47588,48445,46154,46225,39876.397046823615,
2016-08-08,46110,47635,45877,46125,39876.397046823615,
2016-08-16,46523,46820,45150,45444,39876.397046823615,
2016-08-22,45258,45258,43521,43977,39876.397046823615,
2016-08-29,43866,46050,43559,46015,39876.397046823615,
2016-09-05,46110,47694,46110,46194,39876.397046823615,
2016-09-12,46100,46100,45051,45273,39876.397046823615,
2016-09-19,45620,47635,45620,46817,39876.397046823615,
2016-09-26,46800,46889,45234,45726,39876.397046823615,
2016-10-03,45550,45891,41060,41865,39876.397046823615,
2016-10-10,42100,42579,41567,41821,39876.397046823615,
2016-10-17,41826,42477,41627,41958,39876.397046823615,
2016-10-24,41997,42650,41925,42459,39876.397046823615,
2016-10-31,42506,44200,42336,43398,39876.397046823615,
2016-11-07,43106,44790,41899,42194,39876.397046823615,
2016-11-14,41543,41680,40130,40388,39876.397046823615,
2016-11-21,40467,41093,39860,40498,39876.397046823615,
2016-11-28,41050,41616,40505,41339,39876.397046823615,
2016-12-05,41269,41999,40747,41221,39876.397046823615,
2016-12-12,41238,41970,39120,39694,,48096.15594874761
2016-12-19,39600,39763,38544,38595,,46526.3122188311
2016-12-26,38740,39875,38325,39049,,46394.624737575694
2017-01-02,39174,40678,39007,40342,,46394.624737575694
2017-01-09,40330,41319,40222,40887,,46394.624737575694
2017-01-16,41277,42086,40850,41425,,46394.624737575694
2017-01-23,41241,41929,40470,41432,,46394.624737575694
2017-01-30,41516,42468,41300,41797,,46394.624737575694
2017-02-06,41888,42736,41793,42597,,46394.624737575694
2017-02-13,42629,43131,42222,42937,,46394.624737575694
2017-02-20,42650,43425,42415,43353,,46394.624737575694
2017-02-27,43737,44151,42350,42532,,46394.624737575694
2017-03-06,42780,42799,40420,40528,,46394.624737575694
2017-03-13,40680,41235,39808,40909,,46394.624737575694
2017-03-20,41051,41618,40705,41530,,46394.624737575694
2017-03-27,41650,42440,41650,42326,,46394.624737575694
2017-04-03,42310,42820,41128,41379,,46394.624737575694
2017-04-10,41357,42694,41006,42571,,46394.624737575694
2017-04-17,42750,42750,41100,41289,,46394.624737575694
2017-04-24,41083,41190,39400,39503,,46394.624737575694
2017-05-01,39849,39975,37827,38018,,45319.18617792095
