time,open,high,low,close,Up Trend,Down Trend
2016-04-18,16360,16770,16000,16727.85,,17200.085140396233
2016-04-25,16767,17069,16560.9,16888.35,,17200.085140396233
2016-05-02,16720.45,16820,16261,16378.7,,17200.085140396233
2016-05-09,16407.65,17019,16407.65,16738.1,,17200.085140396233
2016-05-16,16753.35,17282.35,16450.05,16505.85,,17200.085140396233
2016-05-23,16625,17533,16379,17491.4,13789.220636370985,
2016-05-30,17540,17738.5,17334,17655.85,14460.774643238727,
2016-06-06,17675.05,18026.8,17620.2,17797.05,14844.629667022811,
2016-06-13,17625,17905.85,17482.1,17699.15,14844.629667022811,
2016-06-20,17465.25,17919.55,16910,17393,14844.629667022811,
2016-06-27,17349.95,18147,17339.85,18054.8,14844.629667022811,
2016-07-04,18155,18225.65,17963,18059.5,15236.536640263672,
2016-07-11,18275,19045.1,18252.3,18974.35,15718.604197579423,
2016-07-18,19025,19176,18580.2,18734.95,15984.463917740797,
2016-07-25,18659.85,19199.5,18606.95,19049.4,16044.484656558077,
2016-08-01,19045,19180,18355,19011.35,16044.484656558077,
2016-08-08,19060,19104.25,18593,18984.45,16044.484656558077,
2016-08-16,18982,19461.5,18841.85,19413.05,16343.28433262085,
2016-08-22,19451.1,19496.1,19226.3,19317.55,16668.08871044612,
2016-08-29,19315,19999.95,19182.75,19971.75,16859.85946308305,
2016-09-06,20140,20649.45,20082.05,20350.4,17635.638832210847,
2016-09-12,20001.25,20317.4,19760,19944.95,17635.638832210847,
2016-09-19,20001.75,20349,19828,19948.5,17635.638832210847,
2016-09-26,19811,19849.65,19042.5,19402.75,17635.638832210847,
2016-10-03,19511.15,19904.9,19406.75,19487.45,17635.638832210847,
2016-10-10,19575.45,19617.4,18872,19086.2,17635.638832210847,
2016-10-17,19180,19753,19015,19723.25,17635.638832210847,
2016-10-24,19770.05,19905.25,19245.15,19623.5,17635.638832210847,
2016-11-01,19589.45,19650,19041.25,19131.95,17635.638832210847,
2016-11-07,19400,20332,18200,19820.25,17635.638832210847,
2016-11-15,19840,19898.85,18925.55,18993.25,17635.638832210847,
2016-11-21,19085,19096.85,18229.6,18582.2,17635.638832210847,
2016-11-28,18390,18761.9,18221.1,18331.25,17635.638832210847,
2016-12-05,18319.9,18770,17980,18722.65,17635.638832210847,
2016-12-12,18649.7,18654.95,18160.6,18337.25,17635.638832210847,
2016-12-19,18299.45,18360,17847.05,17907.35,17635.638832210847,
2016-12-26,17825.25,18285,17617,18195.55,17635.638832210847,
2017-01-02,18210.05,18365.5,17855.5,18308,17635.638832210847,
2017-01-09,18343,18979.25,18265,18945.6,17635.638832210847,
2017-01-16,18950.15,19297.4,18822.55,18861.7,17635.638832210847,
2017-01-23,18799.95,19874.8,18742.15,19793.5,17635.638832210847,
2017-01-30,19761.55,20288,19492.55,20256.45,17635.638832210847,
2017-02-06,20339.95,20504.65,20055.55,20273,17635.638832210847,
2017-02-13,20310,20873.8,20119.65,20522.4,17635.638832210847,
2017-02-20,20498.85,21024.55,20492.2,20876.65,17922.139178820635,
2017-02-27,20863,20957.9,20494.6,20579.9,17955.549900232592,
2017-03-06,20625.75,20933.4,20588.1,20797.8,18080.49657355042,
2017-03-14,21246,21678.5,21100,21234.5,18652.82680198039,
2017-03-20,21206,21235.95,20822.5,21140.65,18652.82680198039,
2017-03-27,21001.5,21654,20992.25,21488.15,18660.026569725138,
2017-04-03,21519.9,21729.65,21411,21442.15,18999.793131743463,
2017-04-10,21355.5,21813.05,21355.5,21733,19063.098589627232,
2017-04-17,21750.1,21973.5,21381,21541.45,19166.152016985416,
2017-04-24,21590.05,22391.9,21567.6,22366.4,19409.271882519723,
2017-05-02,22369.95,22818,22291.9,22652.35,20015.543757018408,
2017-05-08,22709.95,22985.8,22582.3,22669.35,20306.337506550513,
2017-05-15,22741.05,22959.95,22640,22798.35,20402.123339447146,
2017-05-22,22920,23320,22460,23256.95,20422.671783484002,
2017-05-29,23220.05,23399,23050.55,23341.75,20829.015331251736,
2017-06-05,23315.05,23778.5,23292,23639.65,21169.474309168287,
2017-06-12,23549.25,23594.8,23308.05,23460.15,21169.474309168287,
2017-06-19,23502.65,23891,23486.55,23546.15,21430.496620431044,
2017-06-27,23601.05,23625,23007.05,23201.2,21430.496620431044,
2017-07-03,23250,23570,23133.35,23458.95,21430.496620431044,
2017-07-10,23530,24004,23475,23977.4,21505.864541174156,
2017-07-17,24025,24294.95,23927.1,24247.6,21928.20523842921,
2017-07-24,24249.9,25037.5,24220,24934.25,22373.451555867265,
2017-07-31,24985,25260,24698.9,24951.15,22724.878118809447,
2017-08-07,24940,25061,23956.1,24085.6,22724.878118809447,
2017-08-14,24160,24520,23933.05,24097,22724.878118809447,
2017-08-21,24137.85,24400,23882.1,24330.3,22724.878118809447,
2017-08-28,24381,24528,24083.1,24483.45,22724.878118809447,
2017-09-04,24461.9,24473,24197.45,24374.6,22724.878118809447,
2017-09-11,24499.8,24962.95,24461,24853,22724.878118809447,
2017-09-18,24960.35,25104.85,24403.4,24426.35,22724.878118809447,
2017-09-25,24418.5,24458,23609.1,24066.45,22724.878118809447,
2017-10-03,24580,24580,24003,24228.05,22724.878118809447,
2017-10-09,24176.05,24798,24005,24732,22724.878118809447,
2017-10-16,24838.1,24891.55,23886.1,23972.5,22724.878118809447,
2017-10-23,24000,25138.9,23902,24981.25,22724.878118809447,
2017-10-30,24975.5,25688.85,24935.65,25668.65,22724.878118809447,
2017-11-06,25556.5,25715,25237,25495.15,22819.025634668018,
2017-11-13,25535.1,25974.65,25260,25818.75,22946.90892569015,
2017-11-20,25825,26200,25652.05,25842.45,23287.516663977476,
2017-11-27,25774.4,25988.9,25211.3,25259.65,23287.516663977476,
2017-12-04,25300,25389.85,24885.9,25364.5,23287.516663977476,
2017-12-11,25450.9,25590,24944.05,25510.25,23287.516663977476,
2017-12-18,25111.05,25795.7,24000,25666.4,23287.516663977476,
2017-12-26,25652,25755,25404.4,25570.05,23287.516663977476,
2018-01-01,25570,25668.3,25287.55,25636.5,23287.516663977476,
2018-01-08,25699.85,25779.9,25550,25743.4,23287.516663977476,
2018-01-15,25774.75,26947.75,25762.45,26896.05,23590.793498943047,
2018-01-22,26889.9,27512.5,26801.7,27445.65,24387.533932346843,
2018-01-29,27382,27661,26425.5,26504.65,24387.533932346843,
2018-02-05,26094.95,26317.35,25000,25513.3,24387.533932346843,
2018-02-12,25602.5,25830,25128.6,25192.2,24387.533932346843,
2018-02-19,25300.05,25409.95,24752.8,25381.55,24387.533932346843,
2018-02-26,25530,25780,24600,24938.45,24387.533932346843,
2018-03-05,24749.65,25085,24085.7,24313.25,,27764.23159493518
