time,open,high,low,close,Up Trend,Down Trend
2016-04-18,7904.5,7984.5,7851.6,7911.15,,8218.684546399689
2016-04-25,7905,8000,7831.1,7894.8,,8218.684546399689
2016-05-02,7858.2,7949.95,7700.95,7760.25,,8218.684546399689
2016-05-09,7794.9,7939.4,7775,7830.55,,8218.684546399689
2016-05-16,7840,7957.8,7753.35,7763.35,,8218.684546399689
2016-05-23,7782.55,8181.7,7722.8,8172.45,,8218.684546399689
2016-05-30,8211.5,8276.95,8156.3,8238.9,7191.894674114435,
2016-06-06,8248,8318.9,8171.1,8190.4,7249.171695840139,
2016-06-13,8124,8232.4,8076,8174.4,7249.171695840139,
2016-06-20,8106,8307.15,7927.1,8086.9,7249.171695840139,
2016-06-27,8050.1,8378,8048,8355.15,7249.171695840139,
2016-07-04,8385.1,8415,8295.05,8336.45,7363.042787010268,
2016-07-11,8432.75,8605,8422.35,8554.85,7516.211601209583,
2016-07-18,8571.5,8888,8485.6,8554.3,7648.527494462277,
2016-07-25,8545,8744.7,8530.75,8686.6,7648.527494462277,
2016-08-01,8702.2,8747,8547.6,8708.2,7648.527494462277,
2016-08-08,8748.5,8760,8565,8678.4,7667.017761423553,
2016-08-16,8695.35,8713.95,8601,8677.25,7698.238243995316,
2016-08-22,8680.5,8693.8,8585.95,8625,7715.827361062295,
2016-08-29,8609.9,8863.7,8578,8840.15,7782.218870324808,
2016-09-06,8891,8994.5,8886.25,8903.75,8023.159278969821,
2016-09-12,8805.25,8878.8,8717.3,8808.2,8023.159278969821,
2016-09-19,8811.9,8918,8784.9,8843.65,8023.159278969821,
2016-09-26,8813.8,8821.6,8562.05,8640.65,8023.159278969821,
2016-10-03,8682,8837.75,8656.25,8722.75,8023.159278969821,
2016-10-10,8746.4,8775.9,8551,8605.1,8023.159278969821,
2016-10-17,8608,8728.2,8507.35,8700.35,8023.159278969821,
2016-10-24,8718,8748,8546.85,8667.4,8023.159278969821,
2016-11-01,8639,8704.6,8425.55,8458.2,8023.159278969821,
2016-11-07,8519,8614,8076,8327.95,8023.159278969821,
2016-11-15,8279,8287.75,8040.1,8074.7,8023.159278969821,
2016-11-21,8100,8138.7,7921,8126.35,8023.159278969821,
2016-11-28,8088.25,8272.5,8078.25,8108.9,8023.159278969821,
2016-12-05,8092.1,8294,8076.1,8277,8023.159278969821,
2016-12-12,8250,8264,8123.6,8146.5,8023.159278969821,
2016-12-19,8132.25,8148.7,7953,7995,,8982.409559752961
2016-12-26,7970,8207.1,7896.35,8187.4,,8982.409559752961
2017-01-02,8215.05,8329.6,8151,8267.65,,8982.409559752961
2017-01-09,8266,8457,8241.1,8417.7,,8982.409559752961
2017-01-16,8404,8468.95,8352.2,8362.65,,8982.409559752961
2017-01-23,8343.5,8698.15,8333.4,8671.1,,8982.409559752961
2017-01-30,8645,8773.8,8555,8754.35,,8982.409559752961
2017-02-06,8808,8843.8,8732.5,8809.35,,8982.409559752961
2017-02-13,8836.65,8872.45,8727,8827,,8982.409559752961
2017-02-20,8828.2,8982.9,8810,8939.5,,8982.409559752961
2017-02-27,8939.95,9018.3,8872.7,8922.8,,8982.409559752961
2017-03-06,8935,9002.9,8907.65,8958.7,,8982.409559752961
2017-03-14,9145,9212.85,9077.6,9171.75,8314.794700067308,
2017-03-20,9164.95,9171.85,9045,9118.3,8314.794700067308,
2017-03-27,9109,9208.4,9035.25,9197.75,8320.68304983641,
2017-04-03,9221.65,9294.85,9200.4,9211.45,8473.999179847317,
2017-04-10,9225.6,9269.95,9170.1,9182.25,8473.999179847317,
2017-04-17,9172.25,9246.65,9090.5,9127,8473.999179847317,
2017-04-24,9140.15,9366,9129.8,9333.7,8493.121436889196,
2017-05-02,9337,9384,9281,9316.7,8600.573341096582,
2017-05-08,9336.1,9464,9322.15,9414.8,8670.663451690145,
2017-05-15,9448,9537.75,9401.55,9445.75,8759.079221577467,
2017-05-22,9480,9586.5,9340,9575.8,8759.079221577467,
2017-05-29,9560,9672,9543.55,9652.6,8893.184455240815,
2017-06-05,9655.15,9705,9619.95,9682.9,8972.843824891428,
2017-06-12,9626.6,9660.6,9584.25,9597.25,8972.843824891428,
2017-06-19,9626,9716,9574.2,9590.05,8981.98839857209,
2017-06-27,9615,9616.9,9451.5,9517.4,8981.98839857209,
2017-07-03,9547.7,9702.9,9538.75,9667.5,8981.98839857209,
2017-07-10,9700.15,9907,9688.25,9899.55,9110.033345387204,
2017-07-17,9926.15,9942.95,9832,9910.55,9216.136122361391,
2017-07-24,9924.9,10117.9,9914.15,10042.25,9334.148714203964,
2017-07-31,10038.25,10149.9,10018.25,10108.55,9412.550466590366,
2017-08-07,10099,10119,9710.1,9741.05,9412.550466590366,
2017-08-14,9778.25,9940,9776.7,9854.4,9412.550466590366,
2017-08-21,9869.95,9889.5,9755,9873.25,9412.550466590366,
2017-08-28,9905.75,10017.85,9782.7,10007.3,9412.550466590366,
2017-09-04,10009,10009,9887,9950,9412.550466590366,
2017-09-11,9995.55,10144.7,9985.25,10101.95,9412.550466590366,
2017-09-18,10142,10188.8,9973.7,9982.95,9412.550466590366,
2017-09-25,9965,9969.25,9695,9800.55,9412.550466590366,
2017-10-03,9895,10017.85,9838.2,10003.4,9412.550466590366,
